,activity,protein_symbol,protein_name,aid,chembl_id,compound_name
16320,inhibitor,P02545,Prelamin-A/C,3642995,CHEMBL1387931,
16321,inhibitor,P02545,Prelamin-A/C,3642996,CHEMBL1591398,
16322,activator,P02545,Prelamin-A/C,3642997,CHEMBL1561815,
16323,inhibitor,P02545,Prelamin-A/C,3642998,CHEMBL1505804,
16324,inhibitor,P02545,Prelamin-A/C,3642999,CHEMBL3210154,
16325,inhibitor,P02545,Prelamin-A/C,3643000,CHEMBL1348060,
16326,inhibitor,P02545,Prelamin-A/C,3643001,CHEMBL1417120,
16327,inhibitor,P02545,Prelamin-A/C,3643002,CHEMBL1990804,
16328,activator,P02545,Prelamin-A/C,3643003,CHEMBL1612211,
16329,inhibitor,P02545,Prelamin-A/C,3643004,CHEMBL1561670,
16330,activator,P02545,Prelamin-A/C,3643005,CHEMBL1417143,
16331,inhibitor,P02545,Prelamin-A/C,3643006,CHEMBL1583513,
16332,inhibitor,P02545,Prelamin-A/C,3643007,CHEMBL1325250,
16333,inhibitor,P02545,Prelamin-A/C,3643008,CHEMBL1476244,
16334,activator,P02545,Prelamin-A/C,3643009,CHEMBL1573598,
16335,inhibitor,P02545,Prelamin-A/C,3643010,CHEMBL1365262,
16336,inhibitor,P02545,Prelamin-A/C,3643011,CHEMBL1377656,
16337,inhibitor,P02545,Prelamin-A/C,3643012,CHEMBL1591417,
16338,activator,P02545,Prelamin-A/C,3643013,CHEMBL1387898,
16339,inhibitor,P02545,Prelamin-A/C,3643014,CHEMBL1365287,
16340,inhibitor,P02545,Prelamin-A/C,3643015,CHEMBL1561728,
16341,inhibitor,P02545,Prelamin-A/C,3643016,CHEMBL1348025,
16342,activator,P02545,Prelamin-A/C,3643017,CHEMBL1573667,
16343,inhibitor,P02545,Prelamin-A/C,3643018,CHEMBL1529776,
16344,activator,P02545,Prelamin-A/C,3643019,CHEMBL1412174,
16345,inhibitor,P02545,Prelamin-A/C,3643020,CHEMBL1534684,
16346,inhibitor,P02545,Prelamin-A/C,3643021,CHEMBL1990481,
16347,inhibitor,P02545,Prelamin-A/C,3643022,CHEMBL1495433,
16348,inhibitor,P02545,Prelamin-A/C,3643023,CHEMBL1337641,
16349,inhibitor,P02545,Prelamin-A/C,3643024,CHEMBL1325336,
16350,inhibitor,P02545,Prelamin-A/C,3643025,CHEMBL1466260,
16351,inhibitor,P02545,Prelamin-A/C,3643026,CHEMBL1544762,
16352,inhibitor,P02545,Prelamin-A/C,3643027,CHEMBL1534716,
16353,inhibitor,P02545,Prelamin-A/C,3643028,CHEMBL1427251,
16354,inhibitor,P02545,Prelamin-A/C,3643029,CHEMBL1456068,
16355,inhibitor,P02545,Prelamin-A/C,3643030,CHEMBL1534740,
16356,activator,P02545,Prelamin-A/C,3643031,CHEMBL1513701,
16357,activator,P02545,Prelamin-A/C,3643032,CHEMBL1427269,
16358,inhibitor,P02545,Prelamin-A/C,3643033,CHEMBL1427270,
16359,inhibitor,P02545,Prelamin-A/C,3643034,CHEMBL1427275,
16360,inhibitor,P02545,Prelamin-A/C,3643035,CHEMBL1307886,
16361,activator,P02545,Prelamin-A/C,3643036,CHEMBL1387853,
16362,inhibitor,P02545,Prelamin-A/C,3643037,CHEMBL1600360,
16363,inhibitor,P02545,Prelamin-A/C,3643038,CHEMBL3197082,
16364,inhibitor,P02545,Prelamin-A/C,3643039,CHEMBL1583535,
16365,inhibitor,P02545,Prelamin-A/C,3643040,CHEMBL3197127,
16366,activator,P02545,Prelamin-A/C,3643041,CHEMBL3210852,
16367,inhibitor,P02545,Prelamin-A/C,3643042,CHEMBL1404945,
16368,inhibitor,P02545,Prelamin-A/C,3643043,CHEMBL1466380,
16369,activator,P02545,Prelamin-A/C,3643044,CHEMBL1348015,
16370,inhibitor,P02545,Prelamin-A/C,3643045,CHEMBL1348026,
16371,inhibitor,P02545,Prelamin-A/C,3643046,CHEMBL1365328,
16372,inhibitor,P02545,Prelamin-A/C,3643047,CHEMBL1437081,
16373,inhibitor,P02545,Prelamin-A/C,3643048,CHEMBL1505787,
16374,activator,P02545,Prelamin-A/C,3643049,CHEMBL1337750,
16375,inhibitor,P02545,Prelamin-A/C,3643050,CHEMBL1410859,
16376,inhibitor,P02545,Prelamin-A/C,3643051,CHEMBL1307976,
16377,inhibitor,P02545,Prelamin-A/C,3643052,CHEMBL1990081,
16378,inhibitor,P02545,Prelamin-A/C,3643053,CHEMBL1515683,
16379,inhibitor,P02545,Prelamin-A/C,3643054,CHEMBL1573523,
16380,inhibitor,P02545,Prelamin-A/C,3643055,CHEMBL1412091,
16381,inhibitor,P02545,Prelamin-A/C,3643056,CHEMBL1307868,
16382,inhibitor,P02545,Prelamin-A/C,3643057,CHEMBL1561819,
16383,activator,P02545,Prelamin-A/C,3643058,CHEMBL1600323,
16384,inhibitor,P02545,Prelamin-A/C,3643059,CHEMBL1466310,
16385,inhibitor,P02545,Prelamin-A/C,3643060,CHEMBL77098,"3-hydroxy-3',4'-dimethoxyflavone"
16386,activator,P02545,Prelamin-A/C,3643061,CHEMBL1377607,
16387,activator,P02545,Prelamin-A/C,3643062,CHEMBL1495475,
16388,inhibitor,P02545,Prelamin-A/C,3643063,CHEMBL1483325,
16389,inhibitor,P02545,Prelamin-A/C,3643064,CHEMBL1483326,
16390,inhibitor,P02545,Prelamin-A/C,3643065,CHEMBL1600351,
16391,inhibitor,P02545,Prelamin-A/C,3643066,CHEMBL1544814,
16392,inhibitor,P02545,Prelamin-A/C,3643067,CHEMBL1417144,
16393,inhibitor,P02545,Prelamin-A/C,3643068,CHEMBL1427324,
16394,activator,P02545,Prelamin-A/C,3643069,CHEMBL1397876,
16395,inhibitor,P02545,Prelamin-A/C,3643070,CHEMBL1561719,
16396,inhibitor,P02545,Prelamin-A/C,3643071,CHEMBL3197388,
16397,inhibitor,P02545,Prelamin-A/C,3643072,CHEMBL1348030,
16398,inhibitor,P02545,Prelamin-A/C,3643073,CHEMBL3211276,
16399,inhibitor,P02545,Prelamin-A/C,3643074,CHEMBL1594247,
16400,activator,P02545,Prelamin-A/C,3643075,CHEMBL1534785,
16401,inhibitor,P02545,Prelamin-A/C,3643076,CHEMBL1591337,
16402,inhibitor,P02545,Prelamin-A/C,3643077,CHEMBL1434997,
16403,inhibitor,P02545,Prelamin-A/C,3643078,CHEMBL1573629,
16404,inhibitor,P02545,Prelamin-A/C,3643079 | 3665414,CHEMBL1200596,Chloroxine
16405,inhibitor,P02545,Prelamin-A/C,3643080,CHEMBL1404946,
16406,inhibitor,P02545,Prelamin-A/C,3643081,CHEMBL1427253,
16407,inhibitor,P02545,Prelamin-A/C,3643082,CHEMBL1404954,
16408,activator,P02545,Prelamin-A/C,3643083,CHEMBL1573652,
16409,inhibitor,P02545,Prelamin-A/C,3643084,CHEMBL1387835,
16410,inhibitor,P02545,Prelamin-A/C,3643085,CHEMBL1573684,
16411,inhibitor,P02545,Prelamin-A/C,3643086,CHEMBL1417221,
16412,inhibitor,P02545,Prelamin-A/C,3643087,CHEMBL1377730,
16413,activator,P02545,Prelamin-A/C,3643088,CHEMBL1466320,
16414,inhibitor,P02545,Prelamin-A/C,3643089,CHEMBL1544803,
16415,inhibitor,P02545,Prelamin-A/C,3643090,CHEMBL1444097,
16416,inhibitor,P02545,Prelamin-A/C,3643091,CHEMBL1404995,
16417,activator,P02545,Prelamin-A/C,3643092,CHEMBL1515710,
16418,inhibitor,P02545,Prelamin-A/C,3643093,CHEMBL1332478,
16419,inhibitor,P02545,Prelamin-A/C,3643094,CHEMBL1466333,
16420,inhibitor,P02545,Prelamin-A/C,3643095,CHEMBL1989904,
16421,activator,P02545,Prelamin-A/C,3643096,CHEMBL400585,
16422,inhibitor,P02545,Prelamin-A/C,3643097,CHEMBL3197595,
16423,inhibitor,P02545,Prelamin-A/C,3643098,CHEMBL1387918,
16424,inhibitor,P02545,Prelamin-A/C,3643099,CHEMBL1505755,
16425,inhibitor,P02545,Prelamin-A/C,3643100,CHEMBL1561809,
16426,inhibitor,P02545,Prelamin-A/C,3643101,CHEMBL1466367,
16427,inhibitor,P02545,Prelamin-A/C,3643103,CHEMBL1348018,
16428,inhibitor,P02545,Prelamin-A/C,3643105,CHEMBL1456244,
16429,inhibitor,P02545,Prelamin-A/C,3643106,CHEMBL1505788,
16430,activator,P02545,Prelamin-A/C,3643107,CHEMBL1505789,
16431,inhibitor,P02545,Prelamin-A/C,3643108,CHEMBL1573747,
16432,inhibitor,P02545,Prelamin-A/C,3643109,CHEMBL1989858,
16433,activator,P02545,Prelamin-A/C,3643110,CHEMBL1387986,
16434,inhibitor,P02545,Prelamin-A/C,3643111,CHEMBL1522619,
16435,activator,P02545,Prelamin-A/C,3643112,CHEMBL1417295,
16436,inhibitor,P02545,Prelamin-A/C,3643113,CHEMBL1544764,
16437,inhibitor,P02545,Prelamin-A/C,3643114,CHEMBL1444031,
16438,inhibitor,P02545,Prelamin-A/C,3643115,CHEMBL1583491,
16439,inhibitor,P02545,Prelamin-A/C,3643116,CHEMBL1417328,
16440,inhibitor,P02545,Prelamin-A/C,3643117,CHEMBL1495687,
16441,inhibitor,P02545,Prelamin-A/C,3643118,CHEMBL1522657,
16442,inhibitor,P02545,Prelamin-A/C,3643119,CHEMBL1347966,
16443,activator,P02545,Prelamin-A/C,3643120,CHEMBL3197839,
16444,inhibitor,P02545,Prelamin-A/C,3643121,CHEMBL1708,Paroxetine hydrochloride
16445,inhibitor,P02545,Prelamin-A/C,3643122,CHEMBL1355936,
16446,activator,P02545,Prelamin-A/C,3643123,CHEMBL463763,Triptolide
16447,activator,P02545,Prelamin-A/C,3643124,CHEMBL1387904,
16448,inhibitor,P02545,Prelamin-A/C,3643125,CHEMBL1337779,
16449,inhibitor,P02545,Prelamin-A/C,3643126,CHEMBL1495590,
16450,activator,P02545,Prelamin-A/C,3643127,CHEMBL3197922,
16451,inhibitor,P02545,Prelamin-A/C,3643128,CHEMBL1307942,
16452,activator,P02545,Prelamin-A/C,3643129,CHEMBL1505768,
16453,activator,P02545,Prelamin-A/C,3643130,CHEMBL1417261,
16454,inhibitor,P02545,Prelamin-A/C,3643131,CHEMBL1522713,
16455,inhibitor,P02545,Prelamin-A/C,3643132,CHEMBL1495602,
16456,inhibitor,P02545,Prelamin-A/C,3643133,CHEMBL1337816,
16457,inhibitor,P02545,Prelamin-A/C,3643134,CHEMBL1456253,
16458,inhibitor,P02545,Prelamin-A/C,3643135,CHEMBL1444110,
16459,inhibitor,P02545,Prelamin-A/C,3643136,CHEMBL1427382,
16460,inhibitor,P02545,Prelamin-A/C,3643137,CHEMBL1561796,
16461,inhibitor,P02545,Prelamin-A/C,3643138,CHEMBL1348074,
16462,inhibitor,P02545,Prelamin-A/C,3643139,CHEMBL1308000,
16463,inhibitor,P02545,Prelamin-A/C,3643140,CHEMBL1495589,
16464,activator,P02545,Prelamin-A/C,3643141,CHEMBL1466263,
16465,inhibitor,P02545,Prelamin-A/C,3643142,CHEMBL1347927,
16466,inhibitor,P02545,Prelamin-A/C,3643143,CHEMBL3212135,
16467,inhibitor,P02545,Prelamin-A/C,3643144,CHEMBL1417305,
16468,inhibitor,P02545,Prelamin-A/C,3643145,CHEMBL1583504,
16469,activator,P02545,Prelamin-A/C,3643146,CHEMBL1355945,
16470,inhibitor,P02545,Prelamin-A/C,3643147,CHEMBL1308070,
16471,activator,P02545,Prelamin-A/C,3643148,CHEMBL1600506,
16472,activator,P02545,Prelamin-A/C,3643149,CHEMBL1515636,
16473,activator,P02545,Prelamin-A/C,3643150,CHEMBL1337921,
16474,inhibitor,P02545,Prelamin-A/C,3643151,CHEMBL1505921,
16475,inhibitor,P02545,Prelamin-A/C,3643152,CHEMBL1505922,
16476,inhibitor,P02545,Prelamin-A/C,3643153,CHEMBL1388107,
16477,activator,P02545,Prelamin-A/C,3643154,CHEMBL1388109,
16478,inhibitor,P02545,Prelamin-A/C,3643155,CHEMBL1348188,
16479,inhibitor,P02545,Prelamin-A/C,3643156,CHEMBL1325437,
16480,inhibitor,P02545,Prelamin-A/C,3643157,CHEMBL1427516,
16481,inhibitor,P02545,Prelamin-A/C,3643158,CHEMBL1534981,
16482,activator,P02545,Prelamin-A/C,3643159,CHEMBL1337760,
16483,inhibitor,P02545,Prelamin-A/C,3643160,CHEMBL1466569,
16484,activator,P02545,Prelamin-A/C,3643161,CHEMBL1397828,
16485,inhibitor,P02545,Prelamin-A/C,3643162,CHEMBL1325462,
16486,inhibitor,P02545,Prelamin-A/C,3643163,CHEMBL1522841,
16487,inhibitor,P02545,Prelamin-A/C,3643164,CHEMBL1561928,
16488,inhibitor,P02545,Prelamin-A/C,3643165,CHEMBL1377743,
16489,inhibitor,P02545,Prelamin-A/C,4403342 | 3643166,CHEMBL1257109,Telenzepine dihydrochloride
16490,inhibitor,P02545,Prelamin-A/C,3643167,CHEMBL1522846,
16491,inhibitor,P02545,Prelamin-A/C,3643168,CHEMBL1427423,
16492,inhibitor,P02545,Prelamin-A/C,3643169,CHEMBL1456245,
16493,inhibitor,P02545,Prelamin-A/C,3643170,CHEMBL1426292,
16494,inhibitor,P02545,Prelamin-A/C,3643171,CHEMBL1465281,
16495,activator,P02545,Prelamin-A/C,3643172,CHEMBL1256854,
16496,inhibitor,P02545,Prelamin-A/C,3643173,CHEMBL1534090,
16497,inhibitor,P02545,Prelamin-A/C,3643174,CHEMBL1324386,
16498,inhibitor,P02545,Prelamin-A/C,3643175,CHEMBL1306911,
16499,inhibitor,P02545,Prelamin-A/C,3643176,CHEMBL3211131,
16500,activator,P02545,Prelamin-A/C,3643177,CHEMBL1560884,
16501,inhibitor,P02545,Prelamin-A/C,3643178,CHEMBL1337018,
16502,inhibitor,P02545,Prelamin-A/C,3643179,CHEMBL1606839,
16503,inhibitor,P02545,Prelamin-A/C,3643180,CHEMBL1504704,
16504,inhibitor,P02545,Prelamin-A/C,3643181,CHEMBL1543834,
16505,inhibitor,P02545,Prelamin-A/C,3643182,CHEMBL1386897,
16506,inhibitor,P02545,Prelamin-A/C,3643183,CHEMBL1347002,
16507,activator,P02545,Prelamin-A/C,3643184,CHEMBL1386915,
16508,inhibitor,P02545,Prelamin-A/C,3643185,CHEMBL1543875,
16509,activator,P02545,Prelamin-A/C,3643186,CHEMBL1560916,
16510,inhibitor,P02545,Prelamin-A/C,3643187,CHEMBL1543876,
16511,inhibitor,P02545,Prelamin-A/C,3643188,CHEMBL1582561,
16512,inhibitor,P02545,Prelamin-A/C,3643189,CHEMBL1534136,
16513,inhibitor,P02545,Prelamin-A/C,3643190,CHEMBL1426370,
16514,inhibitor,P02545,Prelamin-A/C,3643191,CHEMBL1482643,
16515,inhibitor,P02545,Prelamin-A/C,3643192,CHEMBL1332051,
16516,inhibitor,P02545,Prelamin-A/C,3643193,CHEMBL1426390,
16517,inhibitor,P02545,Prelamin-A/C,3643194,CHEMBL1317876,
16518,activator,P02545,Prelamin-A/C,3643195,CHEMBL3192084,
16519,inhibitor,P02545,Prelamin-A/C,3643196,CHEMBL1494863,
16520,activator,P02545,Prelamin-A/C,3643197,CHEMBL1560948,
16521,inhibitor,P02545,Prelamin-A/C,3643198,CHEMBL1347071,
16522,inhibitor,P02545,Prelamin-A/C,3643199,CHEMBL1543919,
16523,activator,P02545,Prelamin-A/C,3643200,CHEMBL1455481,
16524,inhibitor,P02545,Prelamin-A/C,3643201,CHEMBL1346931,
16525,inhibitor,P02545,Prelamin-A/C,3643202,CHEMBL1599630,
16526,inhibitor,P02545,Prelamin-A/C,3643203,CHEMBL1490020,
16527,inhibitor,P02545,Prelamin-A/C,3643205,CHEMBL1426285,
16528,inhibitor,P02545,Prelamin-A/C,3643206,CHEMBL1582479,
16529,inhibitor,P02545,Prelamin-A/C,3643207,CHEMBL1504697,
16530,inhibitor,P02545,Prelamin-A/C,3643208,CHEMBL1386881,
16531,inhibitor,P02545,Prelamin-A/C,3643209,CHEMBL1160723,Levisoprenaline
16532,inhibitor,P02545,Prelamin-A/C,3643210,CHEMBL1404234,
16533,inhibitor,P02545,Prelamin-A/C,3643211,CHEMBL1426340,
16534,inhibitor,P02545,Prelamin-A/C,3643212,CHEMBL1364547,
16535,inhibitor,P02545,Prelamin-A/C,3643213,CHEMBL1560876,
16536,inhibitor,P02545,Prelamin-A/C,3643214,CHEMBL1455403,
16537,inhibitor,P02545,Prelamin-A/C,3643215,CHEMBL1521827,
16538,activator,P02545,Prelamin-A/C,3643216,CHEMBL1572926,
16539,inhibitor,P02545,Prelamin-A/C,3643217,CHEMBL1560886,
16540,inhibitor,P02545,Prelamin-A/C,3643218,CHEMBL1336997,
16541,inhibitor,P02545,Prelamin-A/C,3643219,CHEMBL1386833,
16542,inhibitor,P02545,Prelamin-A/C,3643220,CHEMBL1443276,
16543,inhibitor,P02545,Prelamin-A/C,3643221,CHEMBL2356804,
16544,inhibitor,P02545,Prelamin-A/C,3643222,CHEMBL1404113,
16545,inhibitor,P02545,Prelamin-A/C,3643223,CHEMBL1482593,
16546,inhibitor,P02545,Prelamin-A/C,3643224,CHEMBL586000,
16547,inhibitor,P02545,Prelamin-A/C,3643225,CHEMBL1611557,
16548,inhibitor,P02545,Prelamin-A/C,3643226,CHEMBL1543766,
16549,activator,P02545,Prelamin-A/C,3643227,CHEMBL1561085,
16550,inhibitor,P02545,Prelamin-A/C,3643228,CHEMBL1455438,
16551,inhibitor,P02545,Prelamin-A/C,3643229,CHEMBL1426249,
16552,inhibitor,P02545,Prelamin-A/C,3643230,CHEMBL1306884,
16553,inhibitor,P02545,Prelamin-A/C,3643231,CHEMBL3192364,
16554,inhibitor,P02545,Prelamin-A/C,3643232,CHEMBL1324628,
16555,inhibitor,P02545,Prelamin-A/C,3643233,CHEMBL1504677,
16556,inhibitor,P02545,Prelamin-A/C,3643234,CHEMBL1504686,
16557,inhibitor,P02545,Prelamin-A/C,3643235,CHEMBL1582491,
16558,inhibitor,P02545,Prelamin-A/C,3643236,CHEMBL1404337,
16559,inhibitor,P02545,Prelamin-A/C,3643237,CHEMBL1476181,
16560,inhibitor,P02545,Prelamin-A/C,3643238,CHEMBL1386907,
16561,inhibitor,P02545,Prelamin-A/C,3643239,CHEMBL1426327,
16562,activator,P02545,Prelamin-A/C,3643240,CHEMBL1347003,
16563,inhibitor,P02545,Prelamin-A/C,3643241,CHEMBL1337055,
16564,inhibitor,P02545,Prelamin-A/C,3643242,CHEMBL1526703,
16565,inhibitor,P02545,Prelamin-A/C,3643243,CHEMBL1522066,
16566,activator,P02545,Prelamin-A/C,3643244,CHEMBL1347019,
16567,activator,P02545,Prelamin-A/C,3643245 | 4905990,CHEMBL1386933,
16568,inhibitor,P02545,Prelamin-A/C,3643246,CHEMBL1434882,
16569,inhibitor,P02545,Prelamin-A/C,3643247,CHEMBL1337075,
16570,activator,P02545,Prelamin-A/C,3643248,CHEMBL1426372,
16571,inhibitor,P02545,Prelamin-A/C,3643249,CHEMBL1573015,
16572,activator,P02545,Prelamin-A/C,3643250,CHEMBL1573016,
16573,inhibitor,P02545,Prelamin-A/C,3643251,CHEMBL1573017,
16574,activator,P02545,Prelamin-A/C,3643252,CHEMBL1582592,
16575,inhibitor,P02545,Prelamin-A/C,3643253,CHEMBL1504768,
16576,inhibitor,P02545,Prelamin-A/C,3643254,CHEMBL1416574,
16577,inhibitor,P02545,Prelamin-A/C,3643255,CHEMBL1494893,
16578,inhibitor,P02545,Prelamin-A/C,3643256,CHEMBL1455514,
16579,inhibitor,P02545,Prelamin-A/C,3643257,CHEMBL1573045,
16580,inhibitor,P02545,Prelamin-A/C,3643258,CHEMBL1582446,
16581,inhibitor,P02545,Prelamin-A/C,3643259,CHEMBL1404398,
16582,inhibitor,P02545,Prelamin-A/C,3643260,CHEMBL1489900,
16583,inhibitor,P02545,Prelamin-A/C,3643261,CHEMBL1465257,
16584,inhibitor,P02545,Prelamin-A/C,3643262,CHEMBL1411527,
16585,inhibitor,P02545,Prelamin-A/C,3643263,CHEMBL1561032,
16586,activator,P02545,Prelamin-A/C,3643264,CHEMBL1561033,
16587,inhibitor,P02545,Prelamin-A/C,3643265,CHEMBL1411528,
16588,activator,P02545,Prelamin-A/C,3643266,CHEMBL1482724,
16589,inhibitor,P02545,Prelamin-A/C,3643267,CHEMBL585999,
16590,activator,P02545,Prelamin-A/C,3643268,CHEMBL1561059,
16591,inhibitor,P02545,Prelamin-A/C,3643269,CHEMBL1554486,
16592,inhibitor,P02545,Prelamin-A/C,3643270,CHEMBL1494809,
16593,inhibitor,P02545,Prelamin-A/C,3643271,CHEMBL1455416,
16594,inhibitor,P02545,Prelamin-A/C,3643272,CHEMBL1426306,
16595,activator,P02545,Prelamin-A/C,3643273,CHEMBL1346991,
16596,inhibitor,P02545,Prelamin-A/C,3643274,CHEMBL1976304,
16597,inhibitor,P02545,Prelamin-A/C,3643275,CHEMBL1572954,
16598,inhibitor,P02545,Prelamin-A/C,3643276,CHEMBL3192775,
16599,inhibitor,P02545,Prelamin-A/C,3643277,CHEMBL1543866,
16600,inhibitor,P02545,Prelamin-A/C,3643278,CHEMBL1529203,
16601,inhibitor,P02545,Prelamin-A/C,3643279,CHEMBL1494844,
16602,inhibitor,P02545,Prelamin-A/C,3643280,CHEMBL1534146,
16603,inhibitor,P02545,Prelamin-A/C,3643281,CHEMBL1347030,
16604,inhibitor,P02545,Prelamin-A/C,3643282,CHEMBL1331927,
16605,inhibitor,P02545,Prelamin-A/C,3643283,CHEMBL1443478,
16606,inhibitor,P02545,Prelamin-A/C,3643284,CHEMBL1364639,
16607,inhibitor,P02545,Prelamin-A/C,3643285,CHEMBL1976567,
16608,inhibitor,P02545,Prelamin-A/C,3643286,CHEMBL1324650,
16609,inhibitor,P02545,Prelamin-A/C,3643287,CHEMBL1504786,
16610,inhibitor,P02545,Prelamin-A/C,3643288,CHEMBL1465422,
16611,inhibitor,P02545,Prelamin-A/C,3643289,CHEMBL1976308,
16612,inhibitor,P02545,Prelamin-A/C,3643290,CHEMBL1543757,
16613,inhibitor,P02545,Prelamin-A/C,3643291,CHEMBL1346935,
16614,inhibitor,P02545,Prelamin-A/C,3643292,CHEMBL1364704,
16615,activator,P02545,Prelamin-A/C,3643293,CHEMBL1443526,
16616,inhibitor,P02545,Prelamin-A/C,3643294,CHEMBL1543779,
16617,activator,P02545,Prelamin-A/C,3643295,CHEMBL1306893,
16618,inhibitor,P02545,Prelamin-A/C,3643296,CHEMBL1561026,
16619,activator,P02545,Prelamin-A/C,3643297,CHEMBL1515519,
16620,inhibitor,P02545,Prelamin-A/C,3643298,CHEMBL1346969,
16621,inhibitor,P02545,Prelamin-A/C,3643299,CHEMBL1976312,
16622,inhibitor,P02545,Prelamin-A/C,3643300,CHEMBL1386901,
16623,inhibitor,P02545,Prelamin-A/C,3643301,CHEMBL1582553,
16624,inhibitor,P02545,Prelamin-A/C,3643302,CHEMBL1364589,
16625,inhibitor,P02545,Prelamin-A/C,3643303,CHEMBL1560,Captopril
16626,inhibitor,P02545,Prelamin-A/C,3643304,CHEMBL1572939,
16627,inhibitor,P02545,Prelamin-A/C,3643305,CHEMBL1599701,
16628,inhibitor,P02545,Prelamin-A/C,3643306,CHEMBL1376959,
16629,inhibitor,P02545,Prelamin-A/C,3643307,CHEMBL1534104,
16630,inhibitor,P02545,Prelamin-A/C,3643308,CHEMBL1572946,
16631,activator,P02545,Prelamin-A/C,3643309,CHEMBL1976374,
16632,inhibitor,P02545,Prelamin-A/C,3643310,CHEMBL1307019,
16633,activator,P02545,Prelamin-A/C,3643311,CHEMBL1364602,
16634,activator,P02545,Prelamin-A/C,3643312,CHEMBL1426401,
16635,inhibitor,P02545,Prelamin-A/C,3643313,CHEMBL1482757,
16636,inhibitor,P02545,Prelamin-A/C,3643314,CHEMBL1513511,
16637,inhibitor,P02545,Prelamin-A/C,3643315,CHEMBL1455446,
16638,inhibitor,P02545,Prelamin-A/C,3643316,CHEMBL1395669,
16639,inhibitor,P02545,Prelamin-A/C,3643317,CHEMBL1504659,
16640,inhibitor,P02545,Prelamin-A/C,3643318,CHEMBL1364618,
16641,inhibitor,P02545,Prelamin-A/C,3643319,CHEMBL1504668,
16642,inhibitor,P02545,Prelamin-A/C,3643320,CHEMBL1543794,
16643,activator,P02545,Prelamin-A/C,3643321,CHEMBL1337065,
16644,inhibitor,P02545,Prelamin-A/C,3643322,CHEMBL1364640,
16645,inhibitor,P02545,Prelamin-A/C,3643323,CHEMBL2112201,
16646,inhibitor,P02545,Prelamin-A/C,3643324,CHEMBL1522058,
16647,inhibitor,P02545,Prelamin-A/C,3643325,CHEMBL1561124,
16648,inhibitor,P02545,Prelamin-A/C,3643326,CHEMBL1582510,
16649,inhibitor,P02545,Prelamin-A/C,3643327,CHEMBL1543839,
16650,activator,P02545,Prelamin-A/C,3643328,CHEMBL1582535,
16651,inhibitor,P02545,Prelamin-A/C,3643329,CHEMBL1306959,
16652,inhibitor,P02545,Prelamin-A/C,3643330,CHEMBL1543852,
16653,inhibitor,P02545,Prelamin-A/C,3643331,CHEMBL3193273,
16654,inhibitor,P02545,Prelamin-A/C,3643332,CHEMBL1489793,
16655,activator,P02545,Prelamin-A/C,3643333,CHEMBL1534178,
16656,inhibitor,P02545,Prelamin-A/C,3643334,CHEMBL1976271,
16657,inhibitor,P02545,Prelamin-A/C,3643335,CHEMBL1465372,
16658,inhibitor,P02545,Prelamin-A/C,3643336,CHEMBL1416597,
16659,inhibitor,P02545,Prelamin-A/C,3643337,CHEMBL1306998,
16660,inhibitor,P02545,Prelamin-A/C,3643338,CHEMBL1504758,
16661,inhibitor,P02545,Prelamin-A/C,3643339,CHEMBL1573050,
16662,inhibitor,P02545,Prelamin-A/C,3643340,CHEMBL990,Butenafine
16663,inhibitor,P02545,Prelamin-A/C,3643341,CHEMBL1324699,
16664,activator,P02545,Prelamin-A/C,3643342,CHEMBL1561034,
16665,inhibitor,P02545,Prelamin-A/C,3643343,CHEMBL1443408,
16666,inhibitor,P02545,Prelamin-A/C,3643344,CHEMBL3193400,
16667,inhibitor,P02545,Prelamin-A/C,3643345,CHEMBL1364573,
16668,inhibitor,P02545,Prelamin-A/C,3643346,CHEMBL1482736,
16669,inhibitor,P02545,Prelamin-A/C,3643347,CHEMBL1521998,
16670,inhibitor,P02545,Prelamin-A/C,3643348,CHEMBL1494784,
16671,inhibitor,P02545,Prelamin-A/C,3643349,CHEMBL1450384,
16672,inhibitor,P02545,Prelamin-A/C,3643350,CHEMBL1371704,
16673,inhibitor,P02545,Prelamin-A/C,3643351,CHEMBL1513563,
16674,inhibitor,P02545,Prelamin-A/C,3643352,CHEMBL1416488,
16675,activator,P02545,Prelamin-A/C,3643353,CHEMBL1324616,
16676,inhibitor,P02545,Prelamin-A/C,3643354,CHEMBL1397720,
16677,inhibitor,P02545,Prelamin-A/C,3643355,CHEMBL1599740,
16678,inhibitor,P02545,Prelamin-A/C,3643356,CHEMBL1494827,
16679,inhibitor,P02545,Prelamin-A/C,3643357,CHEMBL1376981,
16680,inhibitor,P02545,Prelamin-A/C,3643358,CHEMBL1572955,
16681,inhibitor,P02545,Prelamin-A/C,3643359,CHEMBL1416512,
16682,inhibitor,P02545,Prelamin-A/C,3643360,CHEMBL13828,Oxatomide
16683,inhibitor,P02545,Prelamin-A/C,3643361,CHEMBL1346981,
16684,inhibitor,P02545,Prelamin-A/C,3643362,CHEMBL1465320,
16685,inhibitor,P02545,Prelamin-A/C,3643363,CHEMBL1306944,
16686,inhibitor,P02545,Prelamin-A/C,3643364,CHEMBL1976099,
16687,inhibitor,P02545,Prelamin-A/C,3643365,CHEMBL1567453,
16688,inhibitor,P02545,Prelamin-A/C,3643366,CHEMBL1465338,
16689,inhibitor,P02545,Prelamin-A/C,3643367,CHEMBL1465356,
